Partition,Algorithm,BlendWeight,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,RMSE.ByUser,RMSE.ByRating,Predict.nDCG,TopN.nDCG,MAP,MRR
5,ii-svd-blend,0,0.793,671.732,172,860,860,1.0,0.7074279793744785,0.7945252932641771,0.9689609941161088,0.030812226830690067,0.0464351679967866,0.04658600808246916
4,lucene-svd-blend,1.0,104.52,301.758,172,860,860,1.0,0.6941697764530587,0.7651451359683711,0.9747609263739626,0.059744821046010844,0.09893987641435963,0.10290005544721309
4,lucene-svd-blend,0.9,0.115,293.796,172,860,860,1.0,0.6883095108212521,0.7589002301915533,0.9744121775042016,0.06136553901041336,0.10100588326423128,0.10649829387040097
1,lucene-svd-blend,0.1,0.203,287.156,173,865,865,1.0,0.7208554087407967,0.8243933684997276,0.9704853997806373,0.03726736158382608,0.04580035400423513,0.05076405642762725
4,lucene-svd-blend,0.8,0.12,289.809,172,860,860,1.0,0.6842122452999421,0.7546086882794912,0.975434334694974,0.06377962053632934,0.11302970593681573,0.12425411822979145
4,ii-svd-blend,1.0,17.826,459.144,172,860,860,1.0,0.6941697764530587,0.7651451359683711,0.9747609263739626,0.059744821046010844,0.09893987641435963,0.10290005544721309
4,ii-svd-blend,0.9,0.19,454.279,172,860,860,1.0,0.6914061967907608,0.762478311378895,0.9750165906169619,0.061532128886501176,0.10352245578638766,0.10740196376131288
4,lucene-svd-blend,0.7,0.108,290.118,172,860,860,1.0,0.681906064438289,0.7523039400550581,0.97516107521486,0.0662278026517592,0.10972087861289549,0.12228703034012092
4,ii-svd-blend,0.8,0.391,449.29,172,860,860,1.0,0.6894748348976747,0.7607870212521032,0.9737313421721295,0.062248757994739876,0.11086430144223182,0.11648424674240969
4,lucene-svd-blend,0.6,0.11900000000000001,290.51,172,860,860,1.0,0.6813986648754288,0.7520042531603145,0.9753828763089342,0.06194088948377264,0.10512509783538113,0.11510676193811224
4,lucene-svd-blend,0.5,0.107,287.808,172,860,860,1.0,0.6826827684661004,0.753712019323964,0.9763993697280456,0.05659850931315895,0.09531314021216102,0.1064821612496031
4,ii-svd-blend,0.7,0.212,448.185,172,860,860,1.0,0.6883908229867903,0.7600777777592024,0.9742152760635007,0.06264877607681833,0.10586456450467147,0.11857095304706525
1,ii-svd-blend,0.2,0.394,438.849,173,865,865,1.0,0.7069252063849776,0.7922916881182414,0.9729930179019456,0.03975992911591803,0.05636579929185184,0.05867710028875223
4,lucene-svd-blend,0.4,0.14200000000000002,287.324,172,860,860,1.0,0.6857376834146288,0.757413659851062,0.9755364015462772,0.049121344174636955,0.08245392328128077,0.08461071415324778
4,ii-svd-blend,0.6,0.255,453.325,172,860,860,1.0,0.6881696769093122,0.7603533290098556,0.9743268487827642,0.06744481757298329,0.11035586149376737,0.12488668817922184
4,lucene-svd-blend,0.3,0.115,288.438,172,860,860,1.0,0.6905286723591584,0.763080158920359,0.9746532237006887,0.04346563505612604,0.06363735782942646,0.0653889415863781
4,ii-svd-blend,0.5,0.211,452.211,172,860,860,1.0,0.6888260529053254,0.7616126061093359,0.9742031222128564,0.06479196707427091,0.10727589107988868,0.11803206354699246
